merchant_id,account_name,account_type,sector,mcc,account_owner,account_status,activated_date,country,referral_source,mcc_code,converted,activate_year,activate_month
111151,`LIVETRADERX LTD,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Emmanuel Ndyakuhaki,Account Closed,2025-04-28,Uganda,Self Search,5399.0,0,2025.0,4.0
156941,TRAVEL WITH IWACU TOURS Ltd,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Florent Rwamfizi,Activated,2025-04-23,Rwanda,Sales Drive _ Kalangala,4722.0,1,2025.0,4.0
156929,DAMASCENE AND BROTHERS Ltd,General Service Provider,Retail,5399-Miscellaneous General Merchant (Small Retail),Florent Rwamfizi,Activated,2025-04-22,Rwanda,Sales Drive _ Kalangala,5399.0,1,2025.0,4.0
156991,Jarga Tours and Safaris,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Palme Paiton Katemana,Closed Due To Fraud,2025-04-20,Tanzania,Self Search,4722.0,0,2025.0,4.0
156401,SIMPLEPAY HOME DEPOT LIMITED,Business Not Elsewhere Classified,Retail,5399-Miscellaneous General Merchant (Small Retail),Sheila Kefa,Finalized,2025-04-29,Kenya,Self Search,5399.0,1,2025.0,4.0
156923,DIGITAL CONNECT MERCHANDISE,Electronics Shop,Retail,5732- Electronics Sales,Sheila Kefa,Finalized,2025-04-20,Kenya,Bank Referral,5732.0,1,2025.0,4.0
157008,THE ORCHID GRAND,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Moses Ochom,Finalized,2025-04-23,Uganda,Partner,7011.0,1,2025.0,4.0
156955,KISA APARTMENTS HOTEL LIMITED,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Moses Ochom,Finalized,2025-04-23,Uganda,Account Management Referral,7011.0,1,2025.0,4.0
156080,Ghumshadi Company Limited,E-Commerce,E-Commerce,4814- Telecommunication Services,William Lendukai,Finalized,2025-05-11,Tanzania,Account Management Referral,4814.0,1,2025.0,5.0
157499,Legendary Zanzibar Beach Resort Limited,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",William Lendukai,Finalized,2025-05-14,Tanzania,Account Management Referral,7011.0,1,2025.0,5.0
155065,Zuri Rituals Limited,Beauty Shop/Supplies,Hospitality,7230- Barber and Beauty Shops,William Lendukai,Finalized,2025-05-11,Tanzania,Account Management Referral,7230.0,1,2025.0,5.0
157290,UHURU PAYTECH SYSTEMS LIMITED,General Service Provider,Retail,5399-Miscellaneous General Merchant (Small Retail),Elia Mwakijale,Finalized,2025-04-22,Tanzania,Self Search,5399.0,1,2025.0,4.0
157279,VESSEL IS ME PROJECT LIMITED BY GUARANTEE,Consultancy,Retail,"7392- Consulting, Management and Public Relations Services",Raymond Eguru,Finalized,2025-04-24,Uganda,Self Search,7392.0,1,2025.0,4.0
170100,Twintuff Investors Limited,General Service Provider,Retail,5399-Miscellaneous General Merchant (Small Retail),Joseph Mbothu,Activated,2025-08-29,Kenya,Employee Referral,5399.0,1,2025.0,8.0
156022,Utopia Africa Adventure,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Bestina Ngagani,Finalized,2025-04-20,Tanzania,Sales Drive_Nothern Tanzania,4722.0,1,2025.0,4.0
137480,TOWAJO HOLDINGS LTD,Beauty Shop/Supplies,Hospitality,5399-Miscellaneous General Merchant (Small Retail),Susan Matiko,Finalized,2025-04-22,Kenya,Self Search,5399.0,1,2025.0,4.0
156931,Belair Adventures & Safaris Limited,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Jimmi Muchemi,Finalized,2025-04-20,Kenya,Bank Referral,4722.0,1,2025.0,4.0
156318,Two Brothers Tours Partnership,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Sadru Kazabula,Finalized,2025-04-28,Tanzania,Self Search,4722.0,1,2025.0,4.0
156304,THE LIPBAR KENYA,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Alexander Maleko,Finalized,2025-04-17,Kenya,Helpdesk,5399.0,1,2025.0,4.0
156676,Sensations Limited-Jawhara,"Fashion, Clothes & Accessories",Retail,5399-Miscellaneous General Merchant (Small Retail),Charles Kimani,Finalized,2025-04-17,Kenya,Account Management Referral,5399.0,1,2025.0,4.0
156888,ENIGMA KREATIVE LIMTED,"Fashion, Clothes & Accessories",Retail,5691- Men and Women Clothing Stores,Raymond Eguru,Finalized,2025-04-17,Uganda,Self Search,5691.0,1,2025.0,4.0
143939,Luxe Fragrances Store,Beauty Shop/Supplies,Retail,5399-Miscellaneous General Merchant (Small Retail),David Githaiga,Activated,2025-04-23,Kenya,Helpdesk,5399.0,1,2025.0,4.0
156853,Azizi Africa Luxury Safaris Limited,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Jonathan Mwai,Activated,2025-05-14,Kenya,Self Search,4722.0,1,2025.0,5.0
156874,VALUXE STORE UGANDA LIMITED,Beauty Shop/Supplies,Retail,5399-Miscellaneous General Merchant (Small Retail),Adella Asaasira,Finalized,2025-04-20,Uganda,Chat,5399.0,1,2025.0,4.0
156878,FIRANTE GORILLA TREKS COMPANY LIMITED,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Adella Asaasira,Finalized,2025-04-17,Uganda,Bank Referral,4722.0,1,2025.0,4.0
145438,Blooming Restoration Academy Ltd,E-Commerce,E-Commerce,"7392- Consulting, Management and Public Relations Services",Barbara Ogwari,Finalized,2025-04-24,Kenya,Helpdesk,7392.0,1,2025.0,4.0
